"V2","V160A","V160B","V160C","V160D","V160E","V160F","V160G","V160H","V160I","V160J","V240","V242"
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,32
12,2,3,3,4,2,1,4,4,4,3,1,32
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,33
12,4,4,4,4,4,4,4,4,4,4,1,35
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,36
12,3,3,3,3,2,2,1,3,3,2,1,52
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,59
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,74
12,4,3,3,2,3,4,2,5,4,5,2,18
12,5,2,2,3,4,4,2,4,3,3,1,19
12,-1,1,1,3,2,4,1,5,4,5,2,23
12,4,2,4,3,4,5,1,4,4,5,2,23
12,4,2,1,3,2,4,3,4,4,5,1,31
12,4,4,2,3,4,3,2,4,4,4,2,35
12,4,1,1,3,2,3,1,5,4,-1,1,42
12,4,2,1,3,4,4,5,3,4,4,2,42
12,5,2,1,3,2,4,2,4,2,4,1,57
12,-1,1,1,2,1,3,2,4,4,4,2,66
12,4,4,4,2,3,4,3,3,3,4,2,18
12,4,4,3,3,3,4,2,3,3,3,1,18
12,3,3,3,4,3,4,2,4,3,3,2,18
12,4,4,4,4,4,4,4,4,4,4,2,26
12,5,4,2,2,4,5,1,5,3,4,2,29
12,4,4,4,2,2,2,2,4,4,4,2,38
12,4,4,4,2,2,2,2,4,3,5,1,47
12,3,3,3,3,3,3,3,3,3,3,2,55
12,5,4,1,5,3,5,1,5,1,-1,2,58
12,4,4,4,4,4,4,1,4,2,4,2,63
12,4,1,2,4,5,5,3,5,4,5,2,21
12,5,4,3,4,5,4,4,4,1,5,2,21
12,2,2,1,4,1,3,3,5,4,5,2,24
12,3,2,4,3,2,3,2,4,4,5,2,24
12,4,3,1,2,4,5,4,5,1,1,1,25
12,2,5,1,1,1,5,2,5,5,3,1,27
12,5,2,4,2,2,4,4,2,4,4,1,30
12,4,1,1,5,1,4,1,5,1,4,1,41
12,-1,3,2,2,2,4,4,4,4,3,2,49
12,5,1,1,2,4,5,1,5,4,3,2,51
12,1,1,4,4,4,4,5,5,2,5,1,22
12,4,4,2,5,4,5,5,4,5,4,1,22
12,-1,1,1,1,1,4,4,4,5,4,2,23
12,3,4,1,4,4,5,5,2,2,4,1,24
12,2,4,1,4,4,4,4,5,2,4,1,33
12,4,1,1,5,3,3,5,5,5,4,1,40
12,3,-1,-1,4,-1,-1,-1,-1,5,2,2,50
12,2,3,1,2,3,4,3,5,2,4,1,55
12,-1,2,2,3,3,4,2,4,4,2,2,61
12,3,2,1,5,4,4,4,5,5,3,1,65
12,-1,2,1,1,4,3,2,-1,5,4,2,21
12,4,4,4,1,4,5,4,4,5,5,1,24
12,2,2,1,4,4,5,4,4,3,5,1,24
12,3,1,1,1,1,4,4,5,5,5,2,25
12,5,4,4,1,4,4,3,4,5,3,2,26
12,2,1,2,2,4,4,4,5,4,5,1,33
12,4,2,2,4,2,4,3,4,4,4,1,42
12,2,2,1,5,4,4,4,4,5,4,2,45
12,2,1,1,5,4,4,3,5,4,4,1,55
12,-1,4,2,-1,1,3,1,4,2,-1,2,76
12,1,4,5,1,5,5,5,5,5,5,2,19
12,3,3,3,3,5,3,3,3,3,3,2,27
12,4,4,2,4,4,4,1,4,2,4,1,28
12,4,4,1,1,2,3,1,5,4,5,2,32
12,4,2,2,2,4,4,2,4,4,4,1,32
12,3,3,3,3,3,3,3,3,3,3,2,33
12,3,3,3,3,3,3,3,3,3,3,1,42
12,5,5,1,5,3,5,2,4,4,4,1,55
12,4,3,1,3,2,5,1,5,2,-1,2,72
12,2,2,2,2,4,3,3,5,3,5,1,19
12,2,4,3,2,4,4,2,3,2,2,1,20
12,2,3,4,3,4,4,3,4,4,5,2,22
12,1,2,3,3,2,4,5,5,5,5,2,23
12,4,3,2,3,5,5,2,5,3,3,1,44
12,1,2,3,2,4,4,3,4,3,4,1,18
12,2,3,1,4,5,5,4,5,3,5,1,35
12,4,2,1,3,4,4,2,5,4,4,2,40
12,2,1,1,3,1,3,-1,1,1,-1,1,45
12,2,2,2,2,1,4,2,4,3,2,2,20
12,2,3,1,4,-1,4,-1,5,5,-1,1,57
